word,trans
ኣርባዕተን, 'arbaʕtän
ሓርጭ, ħarČ
ሓመድ, ħamäd
ይኸይድ, yKäyd
ባዕሉ, baʕlu
ስግር, sgr
ሓያላት, ħayalat
መዛሙርቲ, mäzamurti
ምስናይ, msnay
ናብዛ, nabza
ካልኣይ, kal'ay
እናበለ, 'nabälä
ድሕሪኡ, dħri'u
ተንስኡ, täns'u
ሳልሳይ, salsay
እዚኤን, 'zi'en
መስዋእትን, mäswa'tn
ግበሮ, gbäro
ንህዝቢ, nhzbi
ጸበባ, ṣäbäba
የማነይቲ, yämanäyti
ሶርያ, sorya
እንስሳን, 'nssan
ውሰድ, wsäd
ገዝኤ, gäz'e
ነቡካድነጻር, näbukadnäṣar
መምህር, mämhr
ምዕራብ, mʕrab
ኣትዩ, 'atyu
ልብኹም, lbKum
ደየቡ, däyäbu
ከሎኹ, käloKu
ብእኣ, b''a
ኣዘዞም, 'azäzom
ተረፍ, täräf
እንተሎ, 'ntälo
ካባኻ, kabaKa
ኣፍራስ, 'afras
ዓመጻ, ʕamäṣa
ኣቢሎም, 'abilom
ንህዝበይ, nhzbäy
ክኸውን, kKäwn
ነቦኡ, näbo'u
ዝአዘዞ, z'äzäzo
እኽሊ, 'Kli
ያእቆብን, ya'qobn
መላእኽቲ, mäla'Kti
እግዚኣብሄርሲ, 'gzi'abhersi
ወለደት, wälädät
ኪመጽእ, kimäṣ'
ዝስሙ, zsmu
ሀበኒ, häbäni
ወከፎም, wäkäfom
ሰደደ, sädädä
አሎኻ, 'äloKa
ንስኻውን, nsKawn
ዮሐንስ, yoħäns
ኣዘዘ, 'azäzä
ኣርብዓን, 'arbʕan
ንሳኦል, nsa'ol
ሐለፈ, ħäläfä
ኪኸይድ, kiKäyd
ኪነብር, kinäbr
ዓመታት, ʕamätat
ኣምላኹ, 'amlaKu
ሰማዕኩ, sämaʕku
ካባኻትኩም, kabaKatkum
ጐይታኡ, gʷäyta'u
ኪኸዱ, kiKädu
ደሓን, däħan
ይሙት, ymut
መለሰሎም, mäläsälom
ወደቐ, wädäQä
ሰረገላ, särägäla
ንህዝቡ, nhzbu
ከይዱ, käydu
ረአየ, rä'äyä
ንኻልኦት, nKal'ot
ዝነበረት, znäbärät
ጥሜት, Tmet
ኻባታቶም, Kabatatom
ከምቶም, kämtom
ኤልሳእ, 'elsa'
ገሊኦም, gäli'om
ያሪኮ, yariko
ቅድሜኹም, qdmeKum
ደምን, dämn
ዋናታት, wanatat
ኺድ, Kid
ዘሎና, zälona
ደቁ, däqu
ቚስሊ, Qʷisli
ኣለዋ, 'aläwa
ቤትኤል, bet'el
ገምገም, gämgäm
ኣፈይ, 'afäy
ወርትግ, wärtg
ኣእዳው, 'a'daw
ከምታ, kämta
አለዉ, 'äläwu
በጽሔ, bäṣħe
ገላዉኡ, gälawu'u
ንወዲ, nwädi
እንጣጢዕ, 'nTaTiʕ
ሓጐስ, ħagʷäs
መጋረጃ, mägaräǧa
በልዎም, bälwom
ኣሞራውያን, 'amorawyan
ጓሶት, gʷasot
ክቡር, kbur
መጸኒ, mäṣäni
ጾር, ṣor
ዕጭ, ʕČ
ርግጽ, rgṣ
ጐደሎ, gʷädälo
ባሕርን, baħrn
ናተይ, natäy
ኣዒንትኻ, 'aʕintKa
ሐቢሮም, ħäbirom
ዓዲ, ʕadi
ኰን, kʷän
ንዓ, nʕa
ገጾም, gäṣom
ንድሕሪት, ndħrit
ጸላኢ, ṣäla'i
እግሩ, 'gru
ረኣዩ, rä'ayu
ብሓይሊ, bħayli
ንውግእ, nwg'
ክልቲኦም, klti'om
ኣሕዋቶም, 'aħwatom
ንምንታይ, nmntay
ሓሳብ, ħasab
ዘለዎም, zäläwom
ሶርያውያን, soryawyan
ርእዩ, r'yu
ወሲዶም, wäsidom
ከይዶም, käydom
ብምሉእ, bmlu'
ባርያኻ, baryaKa
ሃብቲ, habti
