word,count,trans
እንድዮም, 1, 'ndyom
ውረዳ, 1, wräda
ወኒነያ, 1, wäninäya
ብርሃን, 1, brhan
መልእኽቲ, 1, mäl'Kti
ክንደይሞ, 1, kndäymo
ከላምደካ, 1, kälamdäka
አምዚ, 1, 'ämzi
ኮይነ, 1, koynä
በይንኺ, 1, bäynKi
ከሎ, 1, kälo
ገጸይ, 1, gäṣäy
ረኣያ, 1, rä'aya
ሃዋህው, 1, hawahw
ሃብታም, 1, habtam
ኣነስ, 1, 'anäs
ህያብ, 1, hyab
ንእምነትካ, 1, n'mnätka
ከይሓምያኒ, 1, käyħamyani
ኣማን, 1, 'aman
ሌላና, 1, lelana
ዘቕለበ, 1, zäQläbä
ክርእያ, 1, kr'ya
ጓል, 1, gʷal
ሓሶት, 1, ħasot
ጠሊምካ, 1, Tälimka
ሕልፊ, 1, ħlfi
ክብለን, 1, kblän
ኢና, 1, 'ina
ዘይሃስስ, 1, zäyhass
ግን, 1, gn
ይጥዓሞ, 1, yTʕamo
ዝብሎሎ, 1, zblolo
ተሃሰ, 1, tähasä
ርኤ, 1, r'e
ኣለዋ, 1, 'aläwa
ጉርሒዶ, 1, gurħido
ሓው, 1, ħaw
ገዝኡ, 1, gäz'u
ድዩ, 1, dyu
(ኣይነበረን, 1, ('aynäbärän
ሓቲተኪ, 1, ħatitäki
ርዓማ, 1, rʕama
ኣብዩኒ, 1, 'abyuni
ሰሓቕኪ, 1, säħaQki
ዋላ, 1, wala
ነዲዱ, 1, nädidu
ኣሎይሰፍሕ, 1, 'aloysäfħ
ቅርርብና, 1, qrrbna
ንብዓት, 1, nbʕat
ምሩጽ, 1, mruṣ
ዝወረሶ, 1, zwäräso
ሓዲጉ, 1, ħadigu
ኲናት, 1, kʷinat
ንሽፎነይ, 1, nšfonäy
ዝብለካ, 1, zbläka
ኣፋኔያ, 1, 'afaneya
ዕድል, 1, ʕdl
ትምኒተይ, 1, tmnitäy
ዝሕፈሶ, 1, zħfäso
ዝሕው, 1, zħw
ፍሩይ, 1, fruy
እንተኽፈቱ, 1, 'ntäKfätu
(ወይ’ውን, 1, (wäy’wn
ገሪሙኒ, 1, gärimuni
ገፊሑ, 1, gäfiħu
ኣቕሊበሉ, 1, 'aQlibälu
(ከምዚ, 1, (kämzi
እንዳልካ, 1, 'ndalka
ኩኒ, 1, kuni
ከምቲ, 1, kämti
ግበር, 1, gbär
ኣለና, 1, 'aläna
ጼርና’ወ, 1, ṣerna’wä
በጃኻ, 1, bäǧaKa
ቀይራ, 1, qäyra
ሰተተት, 1, sätätät
ጥዑም’ዩ, 1, Tʕum’yu
ንዘክረን, 1, nzäkrän
(ኣዳነይ, 1, ('adanäy
ወርቂ, 1, wärqi
ሰዓማ, 1, säʕama
ዘሎ, 1, zälo
ክዛረብ, 1, kzaräb
ስዒመ, 1, sʕimä
ከዋጋዓካ, 1, käwagaʕaka
የለን, 1, yälän
ዘየዕበደ, 1, zäyäʕbädä
ብኣማኒኻ, 1, b'amaniKa
ቀደም, 1, qädäm
ጸያፍ, 1, ṣäyaf
ሓሊፉ, 1, ħalifu
ኾይነ, 1, Koynä
ዓለምካ, 1, ʕalämka
ኣይትዋራዘይለይ, 1, 'aytwarazäyläy
ሪሓን, 1, riħan
