list, Map1
בֵית־אָב, veyt־'av
בֵּית־אָב, beyt־'av
יוֹֹשֵׁב, ywošev
תָרִימוּ, tariymu
לְיַרְדֵן, lyarden
לַיַרְדֵן, layarden
לְכַהֵן, lxahen
לַכֹּהֵן, lakohen
אֲשֶׁר־הוּא, 'ašer־hu'
אֲשֶׁר־הִוא, 'ašer־hiw'
וַאֲשֶׁר, wa'ašer
פַּגְעִיאֵל, pagʕiy'el
בֶּן־שְׁדֵיאוּר, ben־šdey'ur
הָיוּ, hayu
הֱיוּ, heyu
אֶת־פִּי, 'et־piy
וְמַטֵה, wmaṭeh
וּמַטֵה, umaṭeh
מֵאֵתָם, me'etam
מֵאִתָם, me'itam
הַפֶּסַח, hapesaħ
הַפָּסַח, hapasaħ
יֻתַן, yutan
יִתֵן, yiten
נִצָב, nit͡sav
מִקְלָטוֹֹ, miqlaṭwo
שְׁלֹשׁ, šloš
שָׁלֹשׁ, šaloš
נַעֲלֶה, naʕaleh
נַעֲלָה, naʕalah
גֵרְשׁוֹֹן, geršwon
גֵרְשׁוֹֹן, geršwon
וַיֵשְׁבוּ, wayešvu
וַיָשֻׁבוּ, wayašuvu
וַיִשְׁבּוּ, wayišbu
אֶת־אֶרֶץ, 'et־'eret͡s
עַד־הָעָרֶב, ʕad־haʕarev
אֶל־מִחוּץ, 'el־miħut͡s
אֶת־הָרֹצֵחַ, 'et־harot͡seħa
בֶּן־עַמִינָדָב, ben־ʕamiynadav
אֱלִישָׁמָע, 'eliyšamaʕ
אֱלֹהֵיכֶם, 'eloheyxem
הָאֲדָמָה, ha'adamah
לָנָפֶשׁ, lanafeš
לְנֶפֶשׁ, lnefeš
לָנֶפֶשׁ, lanefeš
שְׁלֻמִיאֵל, šlumiy'el
וַיַעֲמֹד, wayaʕamod
וַיַעֲמֵד, wayaʕamed
בְיָדוֹֹ, vyadwo
בְּיָדוֹֹ, byadwo
נַחְשׁוֹֹן, naħšwon
בֶּן־עֵינָן, ben־ʕeynan
אוּלַי, 'ulay
לְנָשִׁים, lnašiym
מַלְאָךְ, mal'ax
מַלְאַךְ, mal'ax
בָעָם, vaʕam
בְּעַם, bʕam
בָּעָם, baʕam
מִבְּנֵי, mibney
אֲנָשִׁים, 'anašiym
וּשְׁבַע, ušvaʕ
גַמְלִיאֵל, gamliy'el
הָלַךְ, halax
הֹלֵךְ, holex
הֲלֹךְ, halox
אֶת־אַהֲרֹן, 'et־'aharon
לְמִשְׁפַּחַת, lmišpaħat
לְמִשְׁפְּחֹת, lmišpħot
בְּנוֹֹת, bnwot
כָּל־עֲדַת, kal־ʕadat
בְּמִצְרָיִם, bmit͡srayim
בְּמִצְרַיִם, bmit͡srayim
בְמִצְרַיִם, vmit͡srayim
יֵשֵׁב, yešev
יֹשֵׁב, yošev
וַיֵלְכוּ, wayelxu
וַיַקְרִיבוּ, wayaqriyvu
הַגָר, hagar
אֲחִירַע, 'aħiyraʕ
כְּפִי, kfiy
בֶּן־מְנַשֶׁה, ben־mnašeh
נָסְעוּ, nasʕu
נָסָעוּ, nasaʕu
אֲדֹנִי, 'adoniy
אֲדֹנָי, 'adonay
זָכָר, zaxar
הַקֳדָשִׁים, haqadašiym
וְטִמֵא, wṭime'
וְטָמֵא, wṭame'
בֶּגֶד, beged
לָנוּ, lanu
לָנוּ, lanu
הַנָזִיר, hanaziyr
יֵצְאוּ, yet͡s'u
יָצְאוּ, yat͡s'u
וְנִסְכּוֹֹ, wniskwo
מַטוֹֹת, maṭwot
בֶּן־עַמִישַׁדָי, ben־ʕamiyšaday
הָעֲבָרִים, haʕavariym
אֱלִיצוּר, 'eliyt͡sur
לְחֻקַת, lħuqat
הַמָרִים, hamariym
הַמֹרִים, hamoriym
אֶת־מִשְׁמֶרֶת, 'et־mišmeret
כְּכֹל, kxol
לָמוּת, lamut
מִקָדֵשׁ, miqadeš
מִקֹדֶשׁ, miqodeš
וְלָמָה, wlamah
וְלָמָה, wlamah
שֵׁשׁ־מֵאוֹֹת, šeš־me'wot
בְּיַד, byad
בְּיָד, byad
אֲשֶׁר־אָסְרָה, 'ašer־'asrah
הָרְגוּ, hargu
הֲרֹגוּ, harogu
הִרְגוּ, hirgu
כָלֵב, xalev
כָּלֵב, kalev
אֶת־הָאִשָׁה, 'et־ha'išah
