list, Map1
יוֹֹדְעִים, ywodɣiym
אֶת־עַמִי, 'et־ɣamiy
וּמִשְׁתַחֲוֶה, mištaħaweh
וּמַתָנוֹֹת, matanwot
וְעַם־מְדִינוֹֹת, wɣam־mdiynwot
מֶלֶךְ, melex
בְּכָל־עֵת, bxal־ɣet
דִבֶּר־טוֹֹב, diber־ṭwov
וְתָלוּ, wtal
לְמַלְכֵי, lmalxey
לִתְלוֹֹת, litlwot
בְּנֵזֶק, bnezeq
אֶל־גִנְזֵי, 'el־ginzey
פָּרָשַׁת, parašat
וּבְאַרְבָּעָה, v'arbaɣah
נִשְׂאוֹֹ, niS'wo
בַּלַיְלָה, balaylah
הֵגֶא, hege'
בְּבֵיתוֹֹ, bveytwo
וּבְתַמְרוּקֵי, vtamrqey
כִּי־נָפוֹֹל, kiy־nafwol
וַיְנַשְׂאֵהוּ, waynaS'eh
אֶת־שְׁאֵלָתִי, 'et־š'elatiy
שָׁכָכָה, šaxaxah
וְטוֹֹב, wṭwov
וַתְמָאֵן, watma'en
הֶעֱמִיד, heɣemiyd
וּגְדוּלָה, gdlah
אֶת־הַמַלְכָּה, 'et־hamalkah
מִמֶנִי, mimeniy
קַח, qaħ
כָּתַב, katav
גְדֻלַת, gdulat
וָאֵם, wa'em
וְלֹא־זָע, wlo'־zaɣ
רֹאשׁ, ro'š
וַיִקָהֲלוּ, wayiqahal
וְכָל־הַנָשִׁים, wxal־hanašiym
וַיַחְתֹם, wayaħtom
עוֹֹבֵר, ɣwover
הִגַעַתְ, higaɣat
כִרְאוֹֹת, xir'wot
וְרַבִּים, wrabiym
וַיָשָׁב, wayašav
צִוָּה־לוֹֹ, ṣiah־lwo
שְׁנֵי־סָרִיסֵי, šney־sariysey
חַרְבוֹֹנָה, ħarvwonah
כֶסֶף, xesef
וְאִמָה, w'imah
בָּעֵת, baɣet
וְיַפְקֵד, wyafqed
בְּרֹאשָׁה, bro'šah
לְהַעֲבִיר, lhaɣaviyr
עַל־כָּל־הָעַמִים, ɣal־kal־haɣamiym
בְּשֵׁם־הַמֶלֶךְ, bšem־hamelex
לַהֲרֹג, laharog
עַל־הָאָרֶץ, ɣal־ha'areṣ
לֹא־הִגִידָה, lo'־higiydah
וְהַסוּס, whass
וַיַהַרְגוּ, wayaharg
לְהִקָהֵל, lhiqahel
הָיָה, hayah
לְהַנִיחָם, lhaniyħam
וּמָה, mah
מִיוֹֹם, miywom
מַה־נַעֲשָׂה, mah־naɣaSah
פַּחַד־הַיְהוּדִים, paħad־hayhdiym
נִבְעַת, nivɣat
אִגֶרֶת, 'igeret
וְכַרְכַּס, wxarkas
יֹאמַר, yo'mar
וַתִפֹּל, watipol
הָרַמָכִים, haramaxiym
אֲשֶׁר־נִתַן, 'ašer־nitan
בְּעֵינֵיכֶם, bɣeyneyxem
יִכְרַע, yixraɣ
בְנַפְשֵׁךְ, vnafšex
לָאֶבְיוֹֹנִים, la'evywoniym
אֶת־יָפְיָה, 'et־yafyah
שֵׁתָר, šetar
כָּל־רַב, kal־rav
הַשַׁרְבִיט, hašarviyṭ
אֲשֶׁר־יַעֲשֶׂה, 'ašer־yaɣaSeh
שְׁלוֹֹשִׁים, šlwošiym
וְאֶל־הַפַּחוֹֹת, w'el־hapaħwot
לֹא־עָשְׂתָה, lo'־ɣaStah
קָרְאוּ, qar'
בַּיָיִן, bayayin
וְאוֹֹיֵב, w'woyev
יְבַקְשׁוּ, yvaqš
פּוֹֹרָתָא, pworata'
בִּיתַן, biytan
כְּתוּבִים, ktviym
הֵמָה, hemah
וַיַמְלִיכֶהָ, wayamliyxeha
אֲרִידָתָא, 'ariydata'
כִּי־הִגִידָה, kiy־higiydah
בְּלִבּוֹֹ, blibwo
יִתֵן, yiten
מִמָקוֹֹם, mimaqwom
מִתוֹֹךְ, mitwox
מְדַבְּרִים, mdabriym
מִפִּי, mipiy
וְדָתֵיהֶם, wdateyhem
מִתְיַהֲדִים, mityahadiym
אֲדַלְיָא, 'adalya'
עָוְתָה, ɣawtah
עַל־נַפְשׁוֹֹ, ɣal־nafšwo
כֹּרֵעַ, koreɣa
כִּי־גָדוֹֹל, kiy־gadwol
לֹא־יָסוּף, lo'־yasf
וּלְהַגִיד, lhagiyd
מִן־הַסָרִיסִים, min־hasariysiym
[וְקִבְּלוּ], [wqibl]
אֵין־שֹׁוֶה, 'eyn־šoweh
לְשִׂמְחָה, lSimħah
כִּי־טוֹֹבַת, kiy־ṭwovat
דְבַר־מַלְכוּת, dvar־malxt
וּבִמְלוֹֹאת, vimlwo't
וְנַעֲשִׂים, wnaɣaSiym
סִיוָן, siywan
כִּי־הָאִישׁ, kiy־ha'iyš
וְלִהְיוֹֹת, wlihywot
בֶּן, ben
נַפְשִׁי, nafšiy
בְּרֹאשׁוֹֹ, bro'šwo
וֶאֱמֶת, we'emet
צַר, ṣar
וְאֶת־מָנוֹֹתֶהָ, w'et־manwoteha
פִּתְגָם, pitgam
בַּחֲמִשָׁה, baħamišah
אוֹֹתָם, 'wotam
וְאִלוּ, w'il
דֹרֵשׁ, doreš
וּמְאַת, m'at
וַיְבַהֵל, wayvahel
מִקֵץ, miqeṣ
מַרְסְנָא, marsna'
עתודים, ɣtwdym
וְסָרִיסֵי, wsariysey
אֵינֶנוּ, 'eynen
רַבּוֹֹת, rabwot
תַחֲרִישִׁי, taħariyšiy
מְפֻזָר, mfuzar
אִישׁ־וָאִישׁ, 'iyš־wa'iyš
אַחַת, 'aħat
יָדַע, yadaɣ
בְּאַרְבָּעָה, b'arbaɣah
מִכָּל־הַבְּתוּלֹת, mikal־habtlot
כִּרְצוֹֹנָם, kirṣwonam
וַתִכְתֹב, watixtov
מִטוֹֹת, miṭwot
וָחֶסֶד, waħesed
וּמֵחֹדֶשׁ, meħodeš
כְּנוֹֹס, knwos
יָשׁוּב, yašv
נִקְרָאִים, niqra'iym
בִּימֵי, biymey
עִמָה, ɣimah
וַתִשְׁלַח, watišlaħ
אֲרִיסַי, 'ariysay
לִמְהוּמָן, limhman
בַּהַט־וָשֵׁשׁ, bahaṭ־wašeš
עַל־בֵּית, ɣal־beyt
מוֹֹלַדְתָה, mwoladtah
וְאֶת־דָתֵי, w'et־datey
עֲתִדִים, ɣatidiym
וְעַל־כָּל־הָעַמִים, wɣal־kal־haɣamiym
מִזַרְעָם, mizarɣam
בֶּן־שִׁמְעִי, ben־šimɣiy
וְאַל־תִשְׁתוּ, w'al־tišt
וְדַר, wdar
שָׁמַע, šamaɣ
מומכן, mwmxn
הָאֲחַשְׁדַרְפְּנִים־וְהַפַּחוֹֹת, ha'aħašdarpniym־whapaħwot
עָשׂוּ, ɣaS
רַבִּים, rabiym
וּבְשׁוּשַׁן, vššan
אֶת־הֲדַסָה, 'et־hadasah
הַצֹמוֹֹת, haṣomwot
עַל־כָּל־הַשָׂרִים, ɣal־kal־haSariym
וַיַרְכִּיבֵהוּ, wayarkiyveh
