list, Map1
נִחַמְתָּנִי, niħamtaniy
הַמָוֶת, hamawet
אִם־כִּלוּ, 'im־kilu
אַל־תָּבוֹֹאִי, 'al־tavwo'iy
וְאֶת־הַמֵתִים, w'et־hametiym
שַׁדַּי, šaday
כִּי־פָקַד, kiy־faqad
מָצָאתִי, mat͡sa'tiy
כִּי־אִם־כִּלָה, kiy־'im־kilah
עֲשִׂיתֶם, ʕasiytem
לֶאֱכֹל, le'exol
וְאֶל־אֱלֹהֶיהָ, w'el־'eloheyha
לַאֲנָשִׁים, la'anašiym
מְעָט, mʕaṭ
תֵּדְעִין, tedʕiyn
וּקְרָא־שֵׁם, uqra'־šem
עוֹֹבֵד, ʕwoved
דָוִד, dawid
הַגִּידָה, hagiydah
וַיֵלֶךְ, wayelex
בְּנַעֲרוֹֹת, bnaʕarwot
שָׁלַף, šalaf
יוֹֹדֵעַ, ywodeʕa
הִשְׁבִּית, hišbiyt
מידע, mydʕ
אֲלֵיהֶן, 'aleyhen
דִבַּרְתָּ, dibarta
עִם־נָעֳמִי, ʕim־naʕamiy
צִוִּיתִי, t͡siuiytiy
בָּאוּ, ba'u
קְצִיר, qt͡siyr
הַמֹאֲבִיָה, hamo'aviyah
נָשִׁים, našiym
בֵיתְךָ, veytxa
מַכִּירֵךְ, makiyrex
אֶחָיו, 'eħayw
שְׁבוּ־פֹה, švu־foh
כָּל־הָעָם, kal־haʕam
[וְיָרַדְתְּ], [wyaradt]
אֲשֶׁר־צִוַּתָּה, 'ašer־t͡siuatah
בְּיוֹֹם־קְנוֹֹתְךָ, bywom־qnwotxa
כְּבֹאָנָה, kvo'anah
אַל־תִּקְרֶאנָה, 'al־tiqre'nah
תִגְעֲרוּ־בָה, tigʕaru־vah
מֹאֲבִיוֹֹת, mo'aviywot
הֵיטַבְתְּ, heyṭavt
מִקְרֶהָ, miqreha
אֵשֶׁת־הַמֵת, 'ešet־hamet
וּמִשַׁעַר, umišaʕar
בַבֹּקֶר, vaboqer
לָהֶן, lahen
אִם־דַּל, 'im־dal
קְנֵה, qneh
גְּאַל־לְךָ, g'al־lxa
אֲבַקֶשׁ־לָךְ, 'avaqeš־lax
אוּכַל, 'uxal
טוֹֹבָה, ṭwovah
אֵלָיו, 'elayw
שְׁפֹט, šfoṭ
אַחֲרֵיהֶן, 'aħareyhen
לִשְׁתֵּי, lištey
אֶעֱשֶׂה, 'eʕeseh
פִּתֵּךְ, pitex
עֲלֵיהֶן, ʕaleyhen
חֶסֶד, ħesed
יִשְׁקֹט, yišqoṭ
סוּרָה, surah
תָמָר, tamar
הַשַׁעַר, hašaʕar
וַתַּעַשׂ, wataʕas
אַל־תִּוָּדְעִי, 'al־tiuadʕiy
מִזִקְנֵי, miziqney
וַיָמָת, wayamat
תַּחַת־כְּנָפָיו, taħat־knafayw
יַכִּיר, yakiyr
הַדָּבָר, hadavar
כִּי־מַר־לִי, kiy־mar־liy
הָאֵלֶה, ha'eleh
וְהָיוּ, whayu
וַתַּעֲמוֹֹד, wataʕamwod
בָּנוּ, banu
לגאול־[לִגְאָל־], lg'wl־[lig'al־]
שׁוּבִי, šuviy
בָעֳמָרִים, vaʕamariym
בָנָיו, vanayw
שְׁלֵמָה, šlemah
