list, Map1
בִּקַשְׁתִיהוּ, biqaštiyh
בְּחֶשְׁבּוֹֹן, bħešbwon
וְשָׁדַי, wšaday
בַּת־רַבִּים, bat־rabiym
וּנְהָרוֹֹת, nharwot
וּמַה־נָעַמְתְ, mah־naɣamt
אַל־תִרְאוּנִי, 'al־tir'niy
חָנְטָה, ħanṭah
קִנְאָה, qin'ah
הָרֶקַח, hareqaħ
עָשָׁן, ɣašan
מְגָדָיו, mgadayw
עָלַי, ɣalay
הַמֹר, hamor
מַחֲמַדִים, maħamadiym
פִּתְחִי־לִי, pitħiy־liy
הָרוֹֹעִים, harwoɣiym
הַבָּנוֹֹת, habanwot
לְגַנִי, lganiy
אֶת־כֻּתָנְתִי, 'et־kutantiy
לִפְתֹחַ, liftoħa
מוֹֹרִי, mworiy
וְיָשַׁבְתִי, wyašavtiy
שׁוֹֹשַׁנַת, šwošanat
לִבַּבְתִנִי, libavtiniy
נָצוּר, naṣr
אָסוּר, 'asr
בִּמְסִבּוֹֹ, bimsibwo
חוֹֹמָה, ħwomah
לְחָיַיִךְ, lħayayix
רַפְּדוּנִי, rapdniy
גַנִים, ganiym
סַמְכוּנִי, samxniy
הֲפָרְחָה, hafarħah
מַה־יָפִית, mah־yafiyt
אֶמְצָאֲךָ, 'emṣa'axa
שִׂפְתֹתַיִךְ, Siftotayix
לְרֵיחַ, lreyħa
מֹר, mor
וּלְבוֹֹנָה, lvwonah
לְתָמָר, ltamar
מֶרְקָחִים, merqaħiym
הִשְׁבַּעְתָנוּ, hišbaɣtan
בֵּיתוֹֹ, beytwo
כְּתִרְצָה, ktirṣah
מַמְתַקִים, mamtaqiym
חֲבֵרֶיךָ, ħavereyxa
לְיוֹֹלַדְתָה, lywoladtah
שָׁם, šam
כְּרָמִים, kramiym
חֲבַצֶלֶת, ħavaṣelet
הַגִידָה, hagiydah
שָׂמֻנִי, Samuniy
רָאוּהָ, ra'ha
קְטַנִים, qṭaniym
יְרֵכַיִךְ, yrexayix
כְּתַפּוּחַ, ktapħa
הַכָּסֶף, hakasef
רְפִידָתוֹֹ, rfiydatwo
בָּתֵינוּ, bateyn
כַּמִגְדָלוֹֹת, kamigdalwot
אֶל־גִנַת, 'el־ginat
בָּנוּי, bany
תָלוּי, taly
כִּי־עַזָה, kiy־ɣazah
שָׁרְרֵךְ, šarrex
