list, Map1
כֹחוֹֹ, xoħwo
בְּךָ, bxa
בְךָ, vxa
מנ, mn
פָעֳלוֹֹ, faʕalwo
שִׁנָיו, šinayw
שָׁנָיו, šanayw
אֶרְשָׁע, eršaʕ
הֲתֵדַע, hatedaʕ
כָּעֵץ, kaʕet͡s
צָפַנְתָ, t͡safanta
לַחְמִי, laħmi
וּבְעַד, vʕad
דִבַּרְתִי, dibarti
דִבְרָתִי, divrati
שָׂרִיד, sariyd
יָדָיו, yadayw
קָרָאתִי, qara'ti
יֹסִיף, yosiyf
עָדֶיךָ, ʕadeyxa
עֵדֶיךָ, ʕedeyxa
בְּעַד, bʕad
יוֹֹמוֹֹ, ywomwo
יִבְרָח, yivraħ
יִבְרַח, yivraħ
רָחָב, raħav
רַחַב, raħav
וְאֶל־שַׁדַי, w'el־šaday
כְּבוֹֹדִי, kvwodi
וּמִיַד, miyad
עָנִי, ʕani
יִשָׁקֵל, yišaqel
בִּרְכַּת, birkat
בֵּרַכְתָ, beraxta
אֶבֶן, even
לְמֶלֶךְ, lmelex
בְּשֶׁלַח, bšelaħ
בַּשָׁלַח, bašalaħ
יְדֵיהֶם, ydeyhem
וּמְשֹׁאָה, mšo'a
בְּכָל־זֹאת, bxal־zo't
יִתְהַלָךְ, yithalax
אָהֳלִי, ahali
שׁוֹֹלָל, šwolal
אֲתוֹֹנוֹֹת, atwonwot
כְּעַבְדִי, kʕavdi
מֵאֵת, me'et
זְרוֹֹעַ, zrwoʕa
וְלֹא־אָכַל, wlo'־'axal
וּבִלְדַד, vildad
מֵעֹשֵׂהוּ, meʕose
מַעֲשֵׂהוּ, maʕase
עֲנִיִים, ʕaniyiym
הָיוּ, hay
אֲשִׁיבֶנוּ, ašiyven
הֲיֵשׁ, hayeš
בְּכַפָּי, bxapay
בְּכַפִּי, bxapi
בַּדָיו, badayw
חִצֵי, ħit͡sey
חִצִי, ħit͡si
וְיַגֶד־לָךְ, wyaged־lax
וְיַגֶד־לְךָ, wyaged־lxa
כָּל־יְמֵי, kal־ymey
מִשְׁכְּנוֹֹת, mišknwot
בַּסַד, basad
תְמוּרָתוֹֹ, tmratwo
תְמוּרָתוֹֹ, tmratwo
כֻּלוֹֹ, kulwo
כָּלוּ, kal
אֶרְאֶה, er'e
לֹא־אִישׁ, lo'־'iyš
בְּתוֹֹךְ, btwox
לַחֲזִיז, laħaziyz
יְסוֹֹדָם, yswodam
בֵּינֵינוּ, beyneyn
בֵינֵינוּ, veyneyn
בֶן־בַּרַכְאֵל, ven־barax'el
בָּרֵךְ, barex
בֵּרַךְ, berax
בַשַׁעַר, vašaʕar
שְׁמַע־נָא, šmaʕ־na'
אָשׁוּב, ašv
רְמִיָה, rmiya
לֶאֱנוֹֹשׁ, le'enwoš
יִכְלוּ, yixl
יְכַלוּ, yxal
בְּבֵיתוֹֹ, bveytwo
יֹאבֵד, yo'ved
יֹאבַד, yo'vad
שָׁחַל, šaħal
רֹאשׁ, ro'š
טָהוֹֹר, ṭahwor
כֶּעָפָר, keʕafar
וְהוּכַח, whxaħ
וְהוֹֹכֵחַ, whwoxeħa
נַחַל, naħal
נָחַל, naħal
וַיַסְתֵר, wayaster
וְיַסְתֵר, wyaster
הֵמָה, hema
אִם־יָדַעְתָ, im־yadaʕta
זֹאת, zo't
אֶעֱנֶנוּ, eʕenen
מִנִי־יָם, mini־yam
עָרִיצִים, ʕariyt͡siym
מִנִי־אָלֶף, mini־'alef
תְשִׁיבֵנִי, tšiyveni
כִּי־תֹאמַר, ki־to'mar
מָלְאוּ, mal'
