list,            Map1
לִבּוֹֹ, libo
בִּינָה,           biyna
מִי־יִתֵן,         mi-yiten
בָּקָר,            baqar
כָּלָה,            kala
יֵרַע,            yeraʕ
אָמְנָם,           omnam
מְלֹא, mlo'
לָהֶם, lahem
גָדוֹֹל, gadol
עַצְמוֹֹתָיו,        ʕat͡smotaw
וּמִיַד,           umiyad
תִמְצָא,           timt͡sa'
בְּרָכָה, braxa
מְדַבֵּר,           mdaber
וְנִשְׁמַת,          wnišmat
גְמַלִים,          gmalim
צְחוֹֹק, t͡sħoq
כָּל־אָדָם,         kol-adam
אַחֵר, aħer
אָסַף, asaf
מוּל, mul
פִּיךָ,            pixa
לְמֶלֶךְ,           lmelex
בֵּיתוֹֹ,           beyto
לְהַגִיד,          lhagiyd
בִּי, biy
הַאַף,            ha'af
אֶבֶן, even
כַּאֲפִיק,          ka'afiyq
יֹאכַל,           yo'xal
השָׁחַר., hašaħar
הַנַעַר, hanaʕar
שִׁמְעוּ,           šimʕu
מִשְׁפָּטִי,          mišpaṭi
מָה, ma
יַחְשֹׁב,           yaħšov
עֵינֵי, ʕeyney
בַּת, bat
נִתְנָה,           nitna
יַעֲקֹב,               yaʕaqov
רֶגַע, regaʕ
אִם־אַתָה,         im-ata
רָע,             raʕ
שִׁנֵי, šiney
עִמוֹֹ,            ʕimo
יֶאֱסֹף,           ye'esof
לְיָמִים,          lyamim
תִרְאֶה,           tir'e
אָב,             av
קֹדֶשׁ, qodeš
שָׁנָה,            šana
עָשִׂיתָ,           ʕasiyta
לִבִּי,                libi
בְּכִי, bxi
אִם־עָוֶל,         im-ʕawel
לַיְלָה, layla
שָׁמְעוּ,           šamʕu
יָם, yam
קוֹֹל, qol
שְׁמֵי, šmey
יוֹֹם, yom
וּפִתְאֹם, ufit'om
אֲשֶׁר, ašer
שְׁמוֹֹ,                šmo
אָדָם,                adam
כֻּלָם, kulam
לָה, la
דִמְעוֹֹת, dimʕot
