word, trans
ጥቓ, TQa
ብጽሒ, bṣħi
ቛንቛ, QʷanQʷa
ኣይሁድ, 'ayhud
ንገሮም, ngärom
ዋጋ, waga
ዝናም, znam
ደሃያ, dähaya
እያ, 'ya
ካባኻትኩም, kabaKatkum
ድቤላ, dbela
ተቐሚጡ, täQämiTu
ቅዱሳን, qdusan
ሃገርክንሽሕን, hagärknšħn
እግዚኣብሄርን, 'gzi'abhern
ፈጣሪ, fäTari
ናብኣ, nab'a
እቲኣ, 'ti'a
ኣርባዕተን, 'arbaʕtän
እየን, 'yän
ጳውሎስ, Pawlos
መጹ, mäṣu
ኸደ, Kädä
ብክርስቶስ, bkrstos
ኣድኪምዋ, 'adkimwa
ረሲእ, räsi'
ዮርዳኖስ, yordanos
ይከኣሎ, ykä'alo
ዓበይቲ, ʕabäyti
ኣጨኒቕኒ, 'aČäniQni
በይንኻ, bäynKa
ንዅሉ, nkʷlu
ንኣታቶም, n'atatom
እኽሊ, 'Kli
ኮፍ, kof
ህያው, hyaw
ገንዘብ, gänzäb
ወጺኦም, wäṣi'om
ውሉድ, wlud
ሓዘለይ, ħazäläy
የማነይቲ, yämanäyti
ጽሑፍ, ṣħuf
ባርያይ, baryay
ንምድሪ, nmdri
ዝኣምና, z'amna
መገዲ, mägädi
ሴኬም, sekem
ኵሉ, kʷlu
ደው, däw
ኪድ, kid
ግብሪ, gbri
እንዳተጎዳእኻ, 'ndatägoda'Ka
ምድሓን, mdħan
ዚብሉ, ziblu
ክተትየ, ktätyä
ቀረባ, qäräba
ዚወጽእ, ziwäṣ'
ናባኻትኩም, nabaKatkum
ባሕሪ, baħri
ወሲዶም, wäsidom
ብእኣ, b''a
ምጭውቲ, mČwti
ኣበባ, 'abäba
በሉ, bälu
ብናይ, bnay
ሓንሳእ, ħansa'
ከንቱ, käntu
ስብሒ, sbħi
ማእከል, ma'käl
ንሕና, nħna
ሰረገላ, särägäla
ሕቕፎኣብ, ħQfo'ab
ሃብኒ, habni
ኣፉ, 'afu
ብዂሉ, bkʷilu
ዉዕቁዕ, wuʕquʕ
ኣስራዚ, 'asrazi
መዓልትታት, mäʕalttat
ኣዝዮም, 'azyom
ኽንደይ, Kndäy
ስፍራ, sfra
ስእሊ, s'li
ኽትከውን, Ktkäwn
ኣሜን, 'amen
ከምዚ, kämzi
ተጓይየ, tägʷayyä
ግርማ, grma
ትልለ, tllä
ደድሕሪ, dädħri
እዘን, 'zän
