word,trans
ነገስታት, nägästat
ዘላ, zäla
ነገድ, nägäd
ድሕርዚ, dħrzi
እመት, 'mät
ልቢ, lbi
ስለምንታይ, slämntay
ኣዝዩ, 'azyu
ሰሎሞን, sälomon
መንጎ, mängo
ርእሲ, r'si
ካብቶም, kabtom
ከመይ, kämäy
እስራኤልን, 'sra'eln
ወዱ, wädu
ይሁዳን, yhudan
ግብሪ, gbri
ንኣይ, n'ay
ከተማታት, kätämatat
ንንጉስ, nngus
ህያው, hyaw
ኦሪት, 'orit
ዘለዎ, zäläwo
ዚኸውን, ziKäwn
ከረን, kärän
ከተማ, kätäma
ድሕሪ, dħri
ብሓቂ, bħaqi
ሞት, mot
እምኒ, 'mni
ወለደ, wälädä
ኢልካ, 'ilka
ድምጺ, dmṣi
ዓለም, ʕaläm
መንግስቲ, mängsti
ዅሎም, kʷlom
ጥቓ, TQa
ባህ, bah
ሰላም, sälam
ካብታ, kabta
ካልእ, kal'
ዝገበሮ, zgäbäro
ርእሱ, r'su
ፍልስጥኤማውያን, flsT'emawyan
ርባ, rba
ውግእ, wg'
ኣቦ, 'abo
ገና, gäna
ዕስራን, ʕsran
ፈርኦን, fär'on
ኸሎ, Kälo
ሓላቑ, ħalaQu
መጹ, mäṣu
ደቀ, däqä
ወንጌል, wängel
ወጸ, wäṣä
ምዃኑ, mkʷanu
ዚነብሩ, zinäbru
ኣይሁድ, 'ayhud
ኣብዚ, 'abzi
ነብዪ, näbyi
ንዅሉ, nkʷlu
ኤርምያስ, 'ermyas
ዮሴፍ, yosef
ከቶ, käto
ነበረት, näbärät
ኣቦኡ, 'abo'u
ንኣኻ, n'aKa
ዓሰርተ, ʕasärtä
ገጽ, gäṣ
ክንዲ, kndi
ጳውሎስ, Pawlos
አብ, 'äb
ዓበይቲ, ʕabäyti
ክፉእ, kfu'
ወሰን, wäsän
ሰናይ, sänay
ሓለቓ, ħaläQa
ፍረ, frä
ኰይኑ, kʷäynu
ነተን, nätän
ሰፈር, säfär
ዘሎኹ, zäloKu
እያሱ, 'yasu
ህይወት, hywät
ሳሙኤል, samu'el
ሳዕ, saʕ
ብሰሪ, bsäri
ዘመን, zämän
ምሳኻ, msaKa
መልኣኽ, mäl'aK
ቅድሚኡ, qdmi'u
ዀይኑ, kʷäynu
መዓልትታት, mäʕalttat
ኢድካ, 'idka
ቤቱ, betu
ብሓድሽ, bħadš
ናባይ, nabay
ምስቶም, mstom
ብልዒ, blʕi
ታቦት, tabot
ዮርዳኖስ, yordanos
ኣላ, 'ala
ዚሐርር, ziħärr
ኣምላኽና, 'amlaKna
ሞተ, motä
በዓል, bäʕal
ኪዳን, kidan
መጺኡ, mäṣi'u
ምስክር, mskr
ብርቱዕ, brtuʕ
ወለዶ, wälädo
ኸደ, Kädä
ንእስራኤል, n'sra'el
ኣቢሉ, 'abilu
ዕዮ, ʕyo
ኣቲ, 'ati
ተስፋ, täsfa
መበል, mäbäl
ዘረባ, zäräba
ሹድሽተ, šudštä
ኽልተ, Kltä
ወሲዱ, wäsidu
ፍርዲ, frdi
ብናይ, bnay
ንዳዊት, ndawit
ውሉድ, wlud
ምሳይ, msay
ዜብሉ, zeblu
ስፍራ, sfra
ኣነውን, 'anäwn
ኣንስቲ, 'ansti
ኣምላኽኩም, 'amlaKkum
ንዘለኣለም, nzälä'aläm
ኣማልኽቲ, 'amalKti
ዓይኒ, ʕayni
ህዝብን, hzbn
መሊሱ, mälisu
ኣብርሃም, 'abrham
ካህናት, kahnat
ኣኼባ, 'aKeba
ልዕል, lʕl
ሽሕን, šħn
ኣቦይ, 'aboy
ኦም, 'om
ሓቂ, ħaqi
ንሰብ, nsäb
ጻድቕ, ṣadQ
ብሩር, brur
ኣሮን, 'aron
ሌዋውያን, lewawyan
ለይቲ, läyti
ህዝበይ, hzbäy
ንመስዋእቲ, nmäswa'ti
